sintoma_1,sintoma_2,doenca_associada
cefaleia matinal,tontura ocasional,Hipertensão Arterial
fadiga aos esforços,palpitações,Arritmia Cardíaca
dor no peito,aperto,Infarto Agudo do Miocárdio
cansaço constante,fadiga,Insuficiência Cardíaca
visão turva,dores de cabeça fortes,Crise Hipertensiva
falta de ar,dificuldade para respirar,Angina
coração acelerado,suor frio,Taquicardia / Crise de Ansiedade
pernas inchadas,fraqueza,Insuficiência Cardíaca Congestiva
queimação no peito,náuseas,Doença Arterial Coronariana
tosse seca,sensação de sufocamento,Edema Pulmonar
